ID,Name,Critic_Score,Critic_Count,User_Score,User_Count
1,Wii Sports,76,51,8,322
2,Super Mario Bros.,,,,
3,Mario Kart Wii,82,73,8.3,709
4,Wii Sports Resort,80,73,8,192
5,Pokemon Red/Pokemon Blue,,,,
6,Tetris,,,,
7,New Super Mario Bros.,89,65,8.5,431
8,Wii Play,58,41,6.6,129
9,New Super Mario Bros. Wii,87,80,8.4,594
10,Duck Hunt,,,,
11,Nintendogs,,,,
12,Mario Kart DS,91,64,8.6,464
13,Pokemon Gold/Pokemon Silver,,,,
14,Wii Fit,80,63,7.7,146
15,Kinect Adventures!,61,45,6.3,106
16,Wii Fit Plus,80,33,7.4,52
17,Grand Theft Auto V,97,50,8.2,3994
18,Grand Theft Auto: San Andreas,95,80,9,1588
19,Super Mario World,,,,
20,Brain Age: Train Your Brain in Minutes a Day,77,58,7.9,50
21,Pokemon Diamond/Pokemon Pearl,,,,
22,Super Mario Land,,,,
23,Super Mario Bros. 3,,,,
24,Grand Theft Auto V,97,58,8.1,3711
25,Grand Theft Auto: Vice City,95,62,8.7,730
26,Pokemon Ruby/Pokemon Sapphire,,,,
27,Brain Age 2: More Training in Minutes a Day,77,37,7.1,19
28,Pokemon Black/Pokemon White,,,,
29,Gran Turismo 3: A-Spec,95,54,8.4,314
30,Call of Duty: Modern Warfare 3,88,81,3.4,8713
31,Pokémon Yellow: Special Pikachu Edition,,,,
32,Call of Duty: Black Ops 3,,,,
33,Call of Duty: Black Ops,87,89,6.3,1454
34,Pokemon X/Pokemon Y,,,,
35,Call of Duty: Black Ops II,83,21,5.3,922
36,Call of Duty: Black Ops II,83,73,4.8,2256
37,Call of Duty: Modern Warfare 2,94,100,6.3,2698
38,Call of Duty: Modern Warfare 3,88,39,3.2,5234
39,Grand Theft Auto III,97,56,8.5,664
40,Super Smash Bros. Brawl,93,81,8.9,1662
41,Mario Kart 7,85,73,8.2,632
42,Call of Duty: Black Ops,88,58,6.4,1094
43,Grand Theft Auto V,97,66,8.3,2899
44,Animal Crossing: Wild World,86,57,8.7,242
45,Halo 3,94,86,7.8,4100
46,Super Mario 64,,,,
47,Pokemon HeartGold/Pokemon SoulSilver,,,,
48,Pokemon Omega Ruby/Pokemon Alpha Sapphire,,,,
49,Gran Turismo 4,89,74,8.5,272
50,Super Mario Galaxy,97,73,8.9,2147
51,Super Mario Land 2: 6 Golden Coins,,,,
52,Grand Theft Auto IV,98,86,7.9,2951
53,Gran Turismo,96,16,8.7,138
54,Super Mario 3D Land,90,82,8.4,921
55,Gran Turismo 5,84,82,7.5,1112
56,Call of Duty: Modern Warfare 2,94,67,6.3,2073
57,Super Mario All-Stars,,,,
58,Grand Theft Auto IV,98,64,7.5,2833
59,Pokemon FireRed/Pokemon LeafGreen,,,,
60,Super Mario 64,,,,
61,Call of Duty: Ghosts,73,29,2.6,2117
62,Just Dance 3,74,15,7.8,16
63,New Super Mario Bros. 2,78,70,7.2,424
64,Mario Kart 64,,,,
65,Halo: Reach,91,99,7.9,2045
66,Final Fantasy VII,92,20,9.2,1282
67,Halo 4,87,87,7,3260
68,Gran Turismo 2,93,23,9,135
69,Just Dance 2,74,24,7.3,24
70,Call of Duty: Ghosts,71,10,2.6,1047
71,Call of Duty 4: Modern Warfare,94,70,8.4,1320
72,Donkey Kong Country,,,,
73,Minecraft,,,,
74,Animal Crossing: New Leaf,88,70,8.7,626
75,Mario Party DS,72,27,7.8,85
76,The Elder Scrolls V: Skyrim,96,89,8.4,3589
77,Super Mario Kart,,,,
78,FIFA 16,82,42,4.3,896
79,Halo 2,95,91,8.2,1218
80,Wii Party,68,42,7.4,54
81,Mario Party 8,62,41,6.3,190
82,FIFA Soccer 13,88,37,6.6,348
83,GoldenEye 007,,,,
84,Pokemon Black 2/Pokemon White 2,,,,
85,Final Fantasy X,92,53,8.7,1056
86,The Sims 3,86,75,7.6,886
87,Mario & Sonic at the Olympic Games,,,,
88,Star Wars Battlefront (2015),,,,
89,Final Fantasy VIII,90,24,8.6,644
90,Pac-Man,,,,
91,Pokémon Platinum Version,83,46,8.5,203
92,Grand Theft Auto: Liberty City Stories,88,65,7.6,451
93,Call of Duty: Advanced Warfare,83,39,5.7,1443
94,The Legend of Zelda: Ocarina of Time,,,,
95,FIFA 17,85,41,5,398
96,Crash Bandicoot 2: Cortex Strikes Back,,,,
97,Super Smash Bros. for Wii U and 3DS,,,,
98,Super Mario Galaxy 2,97,87,9.1,1854
99,Super Mario Bros. 2,,,,
100,Call of Duty: Black Ops 3,,,,
101,Call of Duty: World at War,84,84,7.6,580
102,Battlefield 3,84,57,7.4,2142
103,Need for Speed Underground,85,33,8.6,171
104,Just Dance,49,21,8,110
105,Battlefield 3,85,38,7.5,1761
106,Fallout 4,87,58,6.5,4228
107,Tekken 3,96,15,9.1,367
108,The Legend of Zelda: Twilight Princess,95,73,9,1658
109,Pokemon Sun/Moon,,,,
110,Crash Bandicoot 3: Warped,91,12,8.9,432
111,Mario Kart 8,88,82,9.1,1599
112,Super Smash Bros. Melee,92,38,9.1,568
113,Mario Kart: Double Dash!!,,,,
114,Need for Speed Underground 2,82,39,8.6,132
115,Medal of Honor: Frontline,88,29,8.5,135
116,Crash Bandicoot,,,,
117,Just Dance 4,74,10,7.3,28
118,Gears of War 2,93,90,7.7,2739
119,Uncharted 3: Drake's Deception,92,97,8.3,3712
120,Zumba Fitness,,,,
121,Call of Duty 4: Modern Warfare,94,44,8.4,993
122,Uncharted 2: Among Thieves,96,105,8.8,5187
123,FIFA 12,,,,
124,Big Brain Academy,74,45,7.4,27
125,The Legend of Zelda,,,,
126,Red Dead Redemption,95,73,8.8,2456
127,FIFA 14,86,37,4.3,576
128,Assassin's Creed III,85,41,6.9,1307
129,Donkey Kong Country Returns,87,77,8.6,368
130,Halo: Combat Evolved,97,68,8.6,1283
131,The Elder Scrolls V: Skyrim,92,16,6.4,2527
132,Pokémon Emerald Version,76,28,9,222
133,Kingdom Hearts,85,46,8.8,597
134,Pokémon Crystal Version,,,,
135,Halo 3: ODST,83,94,7.1,1163
136,Red Dead Redemption,95,96,9,2316
137,Super Mario Sunshine,92,61,8.6,439
138,Street Fighter II: The World Warrior,,,,
139,World of Warcraft,93,57,7.3,2182
140,Driver,87,22,8.1,78
141,Gears of War 3,91,96,7.8,1504
142,Kinect Sports,73,51,7.4,95
143,Gears of War,94,88,8.3,2295
144,FIFA 15,82,47,5.7,988
145,Metal Gear Solid 2: Sons of Liberty,96,42,8.7,1026
146,Sonic the Hedgehog 2,,,,
147,Metal Gear Solid,94,20,9.4,918
148,Metal Gear Solid 4: Guns of the Patriots,94,82,8.7,3558
149,Final Fantasy XII,92,64,7.6,972
150,The Last of Us,95,98,9.1,8003
151,LittleBigPlanet,95,85,6.8,5311
152,Resident Evil 2,89,13,9.2,364
153,Dragon Quest IX: Sentinels of the Starry Skies,87,65,8.8,197
154,Tekken 2,89,8,8.9,102
155,Destiny,76,95,6.1,5380
156,LEGO Star Wars: The Complete Saga,80,17,8.9,62
157,Cooking Mama,67,35,7.2,21
158,Tetris,,,,
159,Super Smash Bros.,,,,
160,Assassin's Creed II,91,70,8.6,1202
161,Assassin's Creed,81,77,7.7,1074
162,Forza Motorsport 3,92,90,8,516
163,Super Mario Advance,84,19,7.8,41
164,Monster Hunter Freedom Unite,81,48,8.7,124
165,Batman: Arkham City,96,42,8.6,2162
166,Grand Theft Auto V,97,14,7.9,764
167,Mario Kart: Super Circuit,93,24,8.3,108
168,Super Mario World,,,,
169,Pokemon Stadium,,,,
170,Crash Bandicoot: The Wrath of Cortex,66,22,7.1,156
171,Call of Duty: World at War,85,45,7.6,409
172,Uncharted 4: A Thief's End,93,113,7.9,7064
173,Dr. Mario,,,,
174,Final Fantasy XIII,83,83,7.3,2483
175,Pokemon Pinball,,,,
176,Final Fantasy IX,94,22,8.9,779
177,Assassin's Creed III,84,61,6.7,1196
178,Final Fantasy X-2,85,45,6.6,400
179,Donkey Kong 64,,,,
180,Call of Duty: Advanced Warfare,81,53,5.4,898
181,Minecraft,,,,
182,Assassin's Creed II,90,82,8.8,1305
183,Tomb Raider II,85,13,,
