ID,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,41.36,28.96,3.77,8.45,82.53
2,29.08,3.58,6.81,0.77,40.24
3,15.68,12.76,3.79,3.29,35.52
4,15.61,10.93,3.28,2.95,32.77
5,11.27,8.89,10.22,1,31.37
6,23.2,2.26,4.22,0.58,30.26
7,11.28,9.14,6.5,2.88,29.8
8,13.96,9.18,2.93,2.84,28.92
9,14.44,6.94,4.7,2.24,28.32
10,26.93,0.63,0.28,0.47,28.31
11,9.05,10.95,1.93,2.74,24.67
12,9.71,7.47,4.13,1.9,23.21
13,9,6.18,7.2,0.71,23.1
14,8.92,8.03,3.6,2.15,22.7
15,15,4.89,0.24,1.69,21.81
16,9.01,8.49,2.53,1.77,21.79
17,7.02,9.09,0.98,3.96,21.04
18,9.43,0.4,0.41,10.57,20.81
19,12.78,3.75,3.54,0.55,20.61
20,4.74,9.2,4.16,2.04,20.15
21,6.38,4.46,6.04,1.36,18.25
22,10.83,2.71,4.18,0.42,18.14
23,9.54,3.44,3.84,0.46,17.28
24,9.66,5.14,0.06,1.41,16.27
25,8.41,5.49,0.47,1.78,16.15
26,6.06,3.9,5.38,0.5,15.85
27,3.43,5.35,5.32,1.18,15.29
28,5.51,3.17,5.65,0.8,15.14
29,6.85,5.09,1.87,1.16,14.98
30,9.04,4.24,0.13,1.32,14.73
31,5.89,5.04,3.12,0.59,14.64
32,6.03,5.86,0.36,2.38,14.63
33,9.7,3.68,0.11,1.13,14.61
34,5.28,4.19,4.35,0.78,14.6
35,4.99,5.73,0.65,2.42,13.79
36,8.25,4.24,0.07,1.12,13.67
37,8.52,3.59,0.08,1.28,13.47
38,5.54,5.73,0.49,1.57,13.32
39,6.99,4.51,0.3,1.3,13.1
40,6.62,2.55,2.66,1.01,12.84
41,5.03,4.02,2.69,0.91,12.66
42,5.99,4.37,0.48,1.79,12.63
43,3.96,6.31,0.38,1.97,12.61
44,2.5,3.45,5.33,0.86,12.13
45,7.97,2.81,0.13,1.21,12.12
46,6.91,2.85,1.91,0.23,11.89
47,4.34,2.71,3.96,0.76,11.77
48,4.35,3.49,3.1,0.74,11.68
49,3.01,0.01,1.1,7.53,11.66
50,6.06,3.35,1.2,0.74,11.35
51,6.16,2.04,2.69,0.29,11.18
52,6.76,3.07,0.14,1.03,11.01
53,4.02,3.87,2.54,0.52,10.95
54,4.89,3,2.14,0.78,10.81
55,2.96,4.82,0.81,2.11,10.7
56,4.99,3.64,0.38,1.6,10.6
57,5.99,2.15,2.12,0.29,10.55
58,4.76,3.69,0.44,1.61,10.5
59,4.34,2.65,3.15,0.35,10.49
60,5.01,3.07,1.25,0.97,10.3
61,6.73,2.56,0.04,0.91,10.25
62,5.95,3.11,0,1.06,10.12
63,3.66,3.14,2.47,0.63,9.9
64,5.55,1.94,2.23,0.15,9.87
65,7.04,1.95,0.08,0.79,9.86
66,3.01,2.47,3.28,0.96,9.72
67,6.65,2.28,0.04,0.74,9.71
68,3.88,3.42,1.69,0.5,9.49
69,5.8,2.85,0.01,0.78,9.44
70,4.1,3.63,0.38,1.25,9.36
71,5.93,2.36,0.13,0.9,9.31
72,4.36,1.71,3,0.23,9.3
73,5.7,2.65,0.02,0.81,9.18
74,2.03,2.36,4.39,0.39,9.16
75,4.4,1.85,1.98,0.68,8.91
76,5.05,2.79,0.1,0.85,8.79
77,3.54,1.24,3.81,0.18,8.76
78,1.12,6.12,0.06,1.28,8.57
79,6.82,1.53,0.05,0.08,8.49
80,1.75,3.47,2.49,0.67,8.38
81,3.74,2.24,1.58,0.7,8.27
82,1.06,5.01,0.13,1.97,8.16
83,5.8,2.01,0.13,0.15,8.09
84,2.79,1.72,3.14,0.41,8.07
85,2.91,2.07,2.73,0.33,8.05
86,0.99,6.42,0,0.6,8.01
87,2.57,3.86,0.66,0.91,7.99
88,2.99,3.49,0.22,1.28,7.98
89,2.28,1.72,3.63,0.23,7.86
90,7.28,0.45,0,0.08,7.81
91,2.76,1.72,2.69,0.54,7.72
92,2.9,2.81,0.24,1.73,7.69
93,2.81,3.48,0.14,1.23,7.66
94,4.1,1.89,1.45,0.16,7.6
95,0.66,5.75,0.08,1.11,7.59
96,3.78,2.17,1.31,0.31,7.58
97,3.27,1.37,2.43,0.48,7.55
98,3.56,2.35,0.98,0.62,7.51
99,5.39,1.18,0.7,0.19,7.46
100,4.59,2.11,0.01,0.68,7.39
101,4.81,1.88,0,0.69,7.38
102,4.46,2.11,0.06,0.69,7.32
103,3.27,2.83,0.08,1.02,7.2
104,3.48,2.99,0,0.73,7.2
105,2.85,2.89,0.35,1.08,7.17
106,2.53,3.27,0.24,1.13,7.16
107,3.27,2.22,1.4,0.29,7.16
108,3.74,2.14,0.6,0.68,7.15
109,2.98,1.45,2.26,0.45,7.14
110,3.68,1.75,1.42,0.28,7.13
111,3.15,2.15,1.28,0.51,7.09
